// ЗАЙМЕННИКИ ТА ЛЮДИ (Pronouns & People)
I;я
you;ти / ви
he;він
she;вона
it;воно (це)
we;ми
they;вони
me;мене / мені
him;його / йому
her;її / їй
us;нас / нам
them;їх / їм
my;мій
your;твій / ваш
his;його
her;її
its;його (неживого)
our;наш
their;їхній
this;цей
that;той
these;ці
those;ті
boy;хлопчик
girl;дівчинка
man;чоловік
woman;жінка
child;дитина
children;діти
friend;друг
family;сім'я
father;батько
dad;тато
mother;мати
mom;мама
brother;брат
sister;сестра
son;син
daughter;дочка
husband;чоловік (у шлюбі)
wife;дружина
parents;батьки
person;людина
people;люди
name;ім'я
mr;містер
mrs;місіс

// БАЗОВІ ДІЄСЛОВА (Basic Verbs)
be;бути
have;мати
do;робити
say;казати
get;отримувати / ставати
make;робити (створювати)
go;йти / їхати
know;знати
take;брати
see;бачити
come;приходити
think;думати
look;дивитися
want;хотіти
give;давати
use;використовувати
find;знаходити
tell;розповідати
ask;запитувати
work;працювати
seem;здаватися
feel;відчувати
try;намагатися
leave;залишати / йти
call;дзвонити / називати
live;жити
mean;означати
need;потребувати
talk;розмовляти
help;допомагати
play;грати
move;рухатися
like;подобатися
hear;чути
start;починати
run;бігти
bring;приносити
write;писати
sit;сидіти
stand;стояти
lose;губити
pay;платити
meet;зустрічати
learn;вчити
change;змінювати
understand;розуміти
watch;дивитися
follow;слідувати
stop;зупинятися
create;створювати
speak;говорити
read;читати
spend;витрачати
grow;рости
open;відкривати
walk;гуляти / йти
win;перемагати
offer;пропонувати
remember;пам'ятати
love;любити
buy;купувати
wait;чекати
die;помирати
send;надсилати
build;будувати
stay;залишатися
fall;падати
cut;різати
kill;вбивати
raise;піднімати
pass;проходити
sell;продавати
decide;вирішувати
return;повертатися
explain;пояснювати
hope;сподіватися
break;ламати
thank;дякувати
eat;їсти
drink;пити
sleep;спати
cook;готувати (їжу)
swim;плавати
fly;літати
drive;водити (машину)
wash;мити
clean;чистити
dance;танцювати
sing;співати
listen;слухати
study;вивчати
travel;подорожувати
put;класти
close;закривати
finish;закінчувати

// ПРИКМЕТНИКИ (Adjectives)
good;хороший
bad;поганий
big;великий
small;маленький
long;довгий
short;короткий
new;новий
old;старий
young;молодий
hot;гарячий
cold;холодний
warm;теплий
right;правий / правильний
left;лівий
happy;щасливий
sad;сумний
beautiful;красивий
ugly;некрасивий
easy;легкий (простий)
hard;важкий (складний)
fast;швидкий
slow;повільний
high;високий
low;низький
expensive;дорогий
cheap;дешевий
rich;багатий
poor;бідний
clean;чистий
dirty;брудний
strong;сильний
weak;слабкий
full;повний
empty;порожній
safe;безпечний
dangerous;небезпечний
same;такий самий
different;інший / різний
