// ДІЄСЛОВА (Verbs) - Дії та процеси
accept;приймати
achieve;досягати
add;додавати
admire;захоплюватися
admit;визнавати
advise;радити
afford;дозволити собі (фінансово)
agree;погоджуватися
allow;дозволяти
appear;з'являтися
argue;сперечатися
arrange;організовувати / домовлятися
arrive;прибувати
belong;належати
borrow;позичати (у когось)
break;ламати
build;будувати
burn;горіти / палити
carry;нести
catch;ловити / встигнути (на транспорт)
celebrate;святкувати
change;змінювати
check;перевіряти
choose;вибирати
clean;чистити / прибирати
climb;лазити / підніматися
collect;збирати
complain;скаржитися
complete;завершувати
continue;продовжувати
copy;копіювати
correct;виправляти
cost;коштувати
count;рахувати
cover;накривати
cross;перетинати
cry;плакати / кричати
cut;різати
dance;танцювати
decide;вирішувати
describe;описувати
destroy;руйнувати
die;помирати
discuss;обговорювати
draw;малювати
drop;впускати (падати)
earn;заробляти
enjoy;насолоджуватися
enter;входити
expect;очікувати
explain;пояснювати
fail;зазнати невдачі / провалити
fall;падати
feed;годувати
feel;відчувати
fight;битися
fill;наповнювати
find;знаходити
finish;закінчувати
fit;пасувати (за розміром)
fix;лагодити
fly;літати
follow;слідувати
forget;забувати
forgive;пробачати
grow;рости
guess;вгадувати
happen;траплятися
hate;ненавидіти
hear;чути
hide;ховати
hit;вдаряти
hold;тримати
hope;сподіватися
hurt;боліти / кривдити
imagine;уявляти
improve;покращувати
include;включати (до складу)
increase;збільшувати
join;приєднуватися
jump;стрибати
keep;зберігати / тримати
kill;вбивати
know;знати
laugh;сміятися
learn;вчитися
leave;залишати / покидати
lend;позичати (комусь)
lie;брехати / лежати
lift;піднімати
listen;слухати
lose;губити / програвати
make;робити / створювати
manage;керувати / справлятися
mean;означати
meet;зустрічати
miss;сумувати / пропускати
move;рухатися / переїжджати
need;потребувати
offer;пропонувати
open;відкривати
order;замовляти / наказувати
own;володіти
pack;пакувати
paint;фарбувати / малювати фарбами
pay;платити
pick;вибирати / підбирати
plan;планувати
play;грати
practice;практикувати
prefer;віддавати перевагу
prepare;готувати (щось)
