// ДІЄСЛОВА - ДІЇ ТА ВЗАЄМОДІЯ (Verbs - Action & Interaction)
abandon;покидати / відмовлятися
absorb;поглинати
accuse;звинувачувати
adapt;адаптуватися
adjust;регулювати / пристосовуватися
admire;захоплюватися
admit;визнавати (провину/факт)
affect;впливати
afford;дозволити собі (фінансово)
aim;цілитися / мати на меті
announce;оголошувати
annoy;дратувати
apologize;вибачатися
appeal;звертатися / приваблювати
appear;з'являтися / здаватися
apply;застосовувати / подавати заяву
appreciate;цінувати
approach;наближатися
approve;схвалювати
argue;сперечатися / аргументувати
arrange;влаштовувати / домовлятися
arrest;заарештовувати
assist;допомагати
attach;прикріплювати
attack;атакувати
attempt;намагатися
attract;приваблювати
avoid;уникати
base;базувати
behave;поводитися
benefit;отримувати вигоду
blame;звинувачувати
blow;дути
book;бронювати
bother;турбувати
breath;дихати
broadcast;транслювати
bury;ховати (хоронити)
calculate;обчислювати
cancel;скасовувати
capture;захоплювати
cause;спричиняти
celebrate;святкувати
challenge;кидати виклик
charge;стягувати плату / заряджати
cheat;обманювати / списувати
claim;стверджувати / вимагати
combine;поєднувати
communicate;спілкуватися
compare;порівнювати
compete;змагатися
complain;скаржитися
concentrate;зосереджуватися
conclude;робити висновок
confirm;підтверджувати
confuse;плутати
connect;з'єднувати
consider;розглядати / вважати
consist;складатися
consume;споживати
contain;містити
control;контролювати
convince;переконувати
create;створювати
criticize;критикувати
cure;лікувати
deal;мати справу
debate;дискутувати
declare;оголошувати / декларувати
decrease;зменшувати
defend;захищати
define;визначати
delay;затримувати
deliver;доставляти
demand;вимагати
deny;заперечувати
depend;залежати
describe;описувати
deserve;заслуговувати
destroy;знищувати
determine;визначати / встановлювати
develop;розвивати
disappear;зникати
disappoint;розчаровувати
discover;відкривати (щось нове)
discuss;обговорювати
display;відображати / показувати
disturb;турбувати / заважати
divide;ділити
doubt;сумніватися
drop;впускати / падати
educate;навчати / давати освіту
elect;обирати (на виборах)
embarrass;бентежити
employ;наймати на роботу
encourage;заохочувати
entertain;розважати
establish;засновувати / встановлювати
estimate;оцінювати
examine;оглядати / екзаменувати
exchange;обмінюватися
exist;існувати
expand;розширювати
expect;очікувати
experience;переживати (досвід)
explain;пояснювати
explore;досліджувати
express;виражати
face;стикатися (з проблемою)
fail;зазнати невдачі
fancy;уявляти / хотіти (розм.)
fasten;застібати / пристібати
feature;містити як особливість
fetch;піти і принести
fix;лагодити / фіксувати
float;плавати (на поверхні)
focus;фокусуватися
force;змушувати
forgive;пробачати
frighten;лякати
gain;здобувати / набирати
gather;збирати(ся)
generate;генерувати
guess;вгадувати
handle;впоратися / керувати
hang;висіти / вішати
hire;наймати
identify;ідентифікувати
ignore;ігнорувати
imagine;уявляти
impress;вражати
improve;покращувати
include;включати
increase;збільшувати
indicate;вказувати
influence;впливати
inform;інформувати
injure;травмувати
insist;наполягати
